Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
1,0,33,401.76,0,14129,63943.977,63943.977,401.76,0.7632269,140,201.46552,201.46552,0,1,116,118.52069,118.52069,0,1,140,118.913795,118.913795,0,1,141,127.16897,127.16897,0,1,143,132.47586,132.47586,0,1,9107,32962.117,32962.117,207.36,0.97144055
2,1,26.391304,298.08,0.007,41937,66893.13,66893.13,298.08,0.65786767,128,126.97241,126.97241,0,1,115,97.88276,97.88276,0,1,138,87.07241,87.07241,0,1,144,103.18965,103.18965,0,1,149,120.87931,120.87931,0,1,22762,33777.664,33777.664,155.52,0.6976862
3,2,11.72973,479.52,0.022,20942,98793.77,98793.77,479.52,0.72073895,132,146.23448,146.23448,0,1,114,195.17586,195.17586,0,1,141,176.7,176.7,0,1,135,168.05173,168.05173,0,1,146,195.56897,195.56897,0,1,19640,63108.68,63108.68,324,0.92057586
4,3,10,51.84,0.029,118,32.37588,32.37588,0,1,120,14.348276,14.348276,0,1,111,14.348276,14.348276,0,1,131,4.324138,4.324138,0,1,134,25.551723,25.551723,0,1,140,3.9310346,3.9310346,0,1,931,1264.0732,1264.0732,51.84,0.68882656
5,4,4,103.68,0.037,926,1383.672,1383.672,64.8,0.59672755,125,44.027588,44.027588,0,1,113,42.25862,42.25862,0,1,133,34.396553,34.396553,0,1,126,24.175861,24.175861,0,1,141,50.31724,50.31724,0,1,2800,4902.786,4902.786,77.76,0.45470414
6,5,7.5,77.76,0.043,281,342.98276,342.98276,25.92,0,128,32.82414,32.82414,0,1,119,31.251724,31.251724,0,1,144,51.889656,51.889656,0,1,134,57.982758,57.982758,0,1,136,12.186207,12.186207,0,1,1002,2160.4966,2160.4966,64.8,0.5174126
7,6,15.145833,622.08,0.051,33667,146898.63,146898.63,596.16,0.5830463,135,352.2207,352.2207,0,1,129,335.71036,335.71036,0,1,146,304.65518,304.65518,0,1,140,253.15862,253.15862,0,1,146,245.4931,245.4931,0,1,39366,183904.4,183904.4,492.48,0.9336009
8,7,11.555555,116.64,0.058,474,1166.1414,1166.1414,90.72,0.6067598,127,39.70345,39.70345,0,1,134,48.548275,48.548275,0,1,148,67.22069,67.22069,0,1,139,65.45172,65.45172,0,1,148,63.093105,63.093105,0,1,2064,3282.4138,3282.4138,77.76,0.20922267
9,8,29.733334,388.8,0.066,12983,65408.09,65408.09,388.8,0.74441284,130,116.555176,116.555176,0,1,114,145.05518,145.05518,0,1,139,140.73103,140.73103,0,1,144,150.36208,150.36208,0,1,149,154.09656,154.09656,0,1,14430,32682.424,32682.424,207.36,0.60613275
10,9,21.5,51.84,0.073,148,103.582756,103.582756,0,1,127,20.048275,20.048275,0,1,114,29.67931,29.67931,0,1,134,20.244827,20.244827,0,1,132,32.03793,32.03793,0,1,149,37.148277,37.148277,0,1,1453,2261.3396,2261.3396,51.84,0.6837098
11,10,16.096775,401.76,0.081,41262,100387.414,100387.414,401.76,0.76706547,129,224.85518,224.85518,0,1,118,200.08966,200.08966,0,1,144,146.43103,146.43103,0,1,133,152.72069,152.72069,0,1,144,159.79655,159.79655,0,1,28623,62844.074,62844.074,246.24,0.47535077
12,11,27,90.72,0.089,807,1334.9794,1334.9794,51.84,0.7883022,128,26.33793,26.33793,0,1,112,16.706896,16.706896,0,1,134,27.51724,27.51724,0,1,136,16.510345,16.510345,0,1,141,43.634483,43.634483,0,1,2326,4903.059,4903.059,90.72,0.50133616
13,12,23.541666,311.04,0.096,27844,64609.34,64609.34,311.04,0.6848174,128,156.06207,156.06207,0,1,118,115.76897,115.76897,0,1,140,125.203445,125.203445,0,1,140,126.97241,126.97241,0,1,147,111.248276,111.248276,0,1,20980,32946.383,32946.383,181.44,0.7009866
14,13,14.6,64.8,0.096,125,59.948277,59.948277,0,1,128,27.713793,27.713793,0,1,114,29.286207,29.286207,0,1,133,33.217243,33.217243,0,1,131,32.82414,32.82414,0,1,145,44.224136,44.224136,0,1,1180,2158.3345,2158.3345,64.8,0.4724394
15,14,26.875,103.68,0.102,502,1290.663,1290.663,51.84,0.8058012,120,5.7,5.7,0,1,115,51.889656,51.889656,0,1,136,34.789654,34.789654,0,1,139,33.41379,33.41379,0,1,135,10.22069,10.22069,0,1,1995,4631.8735,4631.8735,90.72,0.57791877
16,15,21.133333,388.8,0.102,19792,64698.15,64698.15,388.8,0.749504,129,182.7931,182.7931,0,1,118,178.07587,178.07587,0,1,137,155.47241,155.47241,0,1,147,131.8862,131.8862,0,1,146,139.94482,139.94482,0,1,16217,32848.508,32848.508,181.44,0.6328619
17,16,6.1666665,77.76,0.109,213,311.1414,311.1414,25.92,0,134,61.52069,61.52069,0,1,118,43.634483,43.634483,0,1,145,61.91379,61.91379,0,1,132,48.351723,48.351723,0,1,152,83.33793,83.33793,0,1,952,1701.1552,1701.1552,77.76,0.38379282
18,17,17.166666,77.76,0.109,615,1280.5225,1280.5225,51.84,0.7075946,121,26.731035,26.731035,0,1,112,24.962069,24.962069,0,1,132,9.434483,9.434483,0,1,129,7.2724137,7.2724137,0,1,140,28.106897,28.106897,0,1,3232,4907.7,4907.7,77.76,0.3967387
19,18,29.2,129.6,0.125,492,1164.3203,1164.3203,77.76,0.81160986,124,48.548275,48.548275,0,1,118,62.7,62.7,0,1,139,68.989655,68.989655,0,1,143,57.589657,57.589657,0,1,143,55.624138,55.624138,0,1,3000,4647.4653,4647.4653,90.72,0.5141209
20,19,3.5,51.84,0.125,137,66.23793,66.23793,0,1,133,44.42069,44.42069,0,1,108,4.913793,4.913793,0,1,134,24.175861,24.175861,0,1,127,23.193104,23.193104,0,1,138,23.586206,23.586206,0,1,886,1344.9513,1344.9513,51.84,0.63847375
21,20,8.875,103.68,0.132,648,1283.0896,1283.0896,64.8,0.6673938,123,32.23448,32.23448,0,1,112,30.465517,30.465517,0,1,133,34.00345,34.00345,0,1,129,40.686207,40.686207,0,1,141,43.831036,43.831036,0,1,2082,4720.386,4720.386,90.72,0.38216186
22,21,7.111111,116.64,0.14,181,261.61035,261.61035,12.96,1,121,59.751724,59.751724,0,1,120,99.848274,99.848274,0,1,146,90.8069,90.8069,0,1,141,81.76552,81.76552,0,1,144,52.08621,52.08621,0,1,1346,3978.4036,3978.4036,116.64,0.69721204
23,22,23,116.64,0.156,956,1434.944,1434.944,51.84,0.75167304,125,38.131035,38.131035,0,1,119,66.43449,66.43449,0,1,136,10.810345,10.810345,0,1,141,70.75862,70.75862,0,1,140,31.84138,31.84138,0,1,2601,4935.715,4935.715,103.68,0.6854587
24,23,28.875,103.68,0.161,937,1291.3448,1291.3448,64.8,0.59296185,129,17.886208,17.886208,0,1,115,51.693104,51.693104,0,1,138,51.3,51.3,0,1,140,49.727585,49.727585,0,1,136,11.4,11.4,0,1,2477,4658.1714,4658.1714,90.72,0.8771929
25,24,7.9,129.6,0.175,196,394.8724,394.8724,38.88,0.64183915,122,38.91724,38.91724,0,1,127,80.389656,80.389656,0,1,148,91.00345,91.00345,0,1,146,102.796555,102.796555,0,1,156,92.57586,92.57586,0,1,2674,6396.186,6396.186,129.6,0.6604301
26,25,5.3846154,168.48,0.182,6449,11478.228,11478.228,116.64,0.72945833,127,103.38621,103.38621,0,1,119,108.889656,108.889656,0,1,136,82.748276,82.748276,0,1,135,91.2,91.2,0,1,142,54.837933,54.837933,0,1,5852,9438.414,9438.414,103.68,0.42971727
27,26,4.571429,90.72,0.182,904,1149.4344,1149.4344,38.88,0.75076044,124,38.52414,38.52414,0,1,119,62.7,62.7,0,1,138,44.61724,44.61724,0,1,130,24.372414,24.372414,0,1,145,34.2,34.2,0,1,1733,4737.6826,4737.6826,77.76,0.7163523
