Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
1,0,11.214286,181.44,0,190,472.90344,472.90344,51.84,0.9139251,127,53.46207,53.46207,0,1,116,74.1,74.1,0,1,136,94.93449,94.93449,0,1,130,36.165516,36.165516,0,1,150,120.68276,120.68276,0,1,5695,14265.66,14265.66,155.52,0.34626535
2,1,14.2,129.6,0.039,291,492.36206,492.36206,38.88,0.65002483,128,70.36552,70.36552,0,1,113,46.189655,46.189655,0,1,127,25.748276,25.748276,0,1,127,22.406897,22.406897,0,1,145,-1.3758621,-1.3758621,0,1,1242,3790.107,3790.107,116.64,0.73215526
3,2,32.258064,401.76,0.051,2104,7509.652,7509.652,116.64,0.8643355,4427,18897.27,18897.27,246.24,0.8995515,293,1059.2173,1059.2173,64.8,0.61158484,497,1588.531,1588.531,77.76,0.8019277,352,1126.438,1126.438,64.8,0.7795245,25814,125449.14,125449.14,362.88,0.9670244,23788,58927.387,58927.387,324,0.52312577
4,3,34.266666,194.4,0.088,345,843.40344,843.40344,64.8,0.2768384,132,69.38276,69.38276,0,1,116,85.69655,85.69655,0,1,138,55.624138,55.624138,0,1,143,37.934483,37.934483,0,1,149,60.53793,60.53793,0,1,1872,9076.365,9076.365,194.4,0.42490637
5,4,15.833333,77.76,0.096,124,58.768967,58.768967,0,1,128,35.18276,35.18276,0,1,106,6.289655,6.289655,0,1,130,33.806896,33.806896,0,1,133,48.744827,48.744827,0,1,140,27.124138,27.124138,0,1,1486,2166,2166,77.76,0.34963572
6,5,17.666666,116.64,0.146,284,466.41724,466.41724,38.88,0.44280672,131,57,57,0,1,116,39.9,39.9,0,1,133,54.051723,54.051723,0,1,129,31.644827,31.644827,0,1,141,21.424137,21.424137,0,1,5375,11780.131,11780.131,116.64,0.61569214
7,6,23,64.8,0.161,139,61.52069,61.52069,0,1,129,19.065517,19.065517,0,1,114,34.00345,34.00345,0,1,132,12.57931,12.57931,0,1,146,26.33793,26.33793,0,1,141,13.75862,13.75862,0,1,1671,1949.4,1949.4,64.8,0.5015891
8,7,30.5,51.84,0.176,137,77.98344,77.98344,0,1,128,23.714613,23.714613,0,1,103,6.0756445,6.0756445,0,1,126,21.166761,21.166761,0,1,138,18.422922,18.422922,0,1,142,18.226934,18.226934,0,1,965,1347.7291,1347.7291,51.84,0.5838179
9,8,26.5,51.84,0.197,145,53.26552,53.26552,0,1,129,31.448277,31.448277,0,1,109,19.26207,19.26207,0,1,124,-0.58965516,-0.58965516,0,1,142,13.168965,13.168965,0,1,146,38.327587,38.327587,0,1,1066,1593.176,1593.176,51.84,0.8709661
10,9,6.047619,272.16,0.234,1542,3816.2483,3816.2483,90.72,0.60800076,3773,11186.741,11186.741,155.52,0.794555,250,652.7483,652.7483,38.88,0.5287341,393,951.31036,951.31036,51.84,0.7816663,265,705.42413,705.42413,51.84,0.9864219,20035,76082.42,76082.42,233.28,0.92750216,19346,36109.555,36109.555,233.28,0.5731224
11,10,19,272.16,0.249,314,1223.7311,1223.7311,116.64,0.8488991,132,105.941376,105.941376,0,1,115,99.848274,99.848274,0,1,136,64.07586,64.07586,0,1,135,88.84138,88.84138,0,1,144,108.889656,108.889656,0,1,4968,23710.23,23710.23,272.16,0.8765941
12,11,7.5,103.68,0.249,446,768.91034,768.91034,51.84,0.46535736,125,21.031034,21.031034,0,1,111,32.431034,32.431034,0,1,135,54.837933,54.837933,0,1,132,34.00345,34.00345,0,1,146,40.686207,40.686207,0,1,2204,3913.5132,3913.5132,90.72,0.72007406
13,12,4.5,51.84,0.249,135,54.837933,54.837933,0,1,126,8.255173,8.255173,0,1,110,21.424137,21.424137,0,1,128,16.11724,16.11724,0,1,126,17.296553,17.296553,0,1,140,23.782759,23.782759,0,1,1097,1717.862,1717.862,51.84,0.5470042
14,13,20,64.8,0.3,125,60.14483,60.14483,0,1,125,28.696552,28.696552,0,1,110,28.106897,28.106897,0,1,128,24.175861,24.175861,0,1,128,18.475863,18.475863,0,1,143,20.048275,20.048275,0,1,1117,1341.0724,1341.0724,64.8,0.82321376
15,14,25.5,51.84,0.314,120,6.486207,6.486207,0,1,120,10.22069,10.22069,0,1,110,16.706896,16.706896,0,1,128,18.672413,18.672413,0,1,148,27.51724,27.51724,0,1,143,25.551723,25.551723,0,1,1087,1556.6897,1556.6897,51.84,0.39338863
16,15,23,25.92,0.351,118,19.45862,19.45862,0,1,125,15.134482,15.134482,0,1,109,8.255173,8.255173,0,1,139,27.51724,27.51724,0,1,144,21.227587,21.227587,0,1,144,13.75862,13.75862,0,1,1267,1201.2587,1201.2587,25.92,0
17,16,17.833334,77.76,0.425,136,94.54138,94.54138,0,1,121,16.510345,16.510345,0,1,114,43.634483,43.634483,0,1,133,43.634483,43.634483,0,1,127,22.996552,22.996552,0,1,141,15.724138,15.724138,0,1,2093,2794.376,2794.376,77.76,0.6085246
18,17,8.947369,492.48,0.454,2533,10195.222,10195.222,220.32,0.6858407,5596,24551.135,24551.135,324,0.8525532,318,1287.7788,1287.7788,77.76,0.6783731,521,1892.035,1892.035,103.68,0.85194105,418,1448.1089,1448.1089,103.68,0.88643587,46315,156678.16,156678.16,466.56,0.8391818,15200,65092.23,65092.23,311.04,0.85893184
19,18,26,51.84,0.461,122,22.406897,22.406897,0,1,126,13.168965,13.168965,0,1,117,44.027588,44.027588,0,1,129,16.11724,16.11724,0,1,144,14.151724,14.151724,0,1,142,10.22069,10.22069,0,1,1207,1469.609,1469.609,51.84,0.40589806
20,19,25.4,259.2,0.483,550,2119.8103,2119.8103,129.6,0.41921267,130,82.15862,82.15862,0,1,115,129.13448,129.13448,0,1,133,85.5,85.5,0,1,144,85.30345,85.30345,0,1,149,121.46896,121.46896,0,1,6133,24788.088,24788.088,259.2,0.5643713
