Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
1,0,28.6,64.8,0,108,-7.3945947,-7.3945947,0,1,120,8.216216,8.216216,0,1,125,51.556755,51.556755,0,1,131,8.832433,8.832433,0,1,145,21.156757,21.156757,0,1,145,37.589188,37.589188,0,1,997,1454.681,1454.681,64.8,0.61272454
2,1,12.833333,77.76,0.007,113,18.28108,18.28108,0,1,128,36.56216,36.56216,0,1,117,56.48649,56.48649,0,1,131,32.454056,32.454056,0,1,130,47.85946,47.85946,0,1,143,34.508106,34.508106,0,1,1892,2893.546,2893.546,77.76,0.37178737
3,2,15.571428,90.72,0.055,118,41.82289,41.82289,0,1,123,15.863855,15.863855,0,1,114,69.2241,69.2241,0,1,135,54.39036,54.39036,0,1,128,33.787952,33.787952,0,1,142,33.787952,33.787952,0,1,1401,5072.725,5072.725,90.72,0.5764489
4,3,32.833332,1866.24,0.083,3586,16621.611,16621.611,194.4,0.7015867,41480,228556.55,228556.55,751.68,0.9462869,2388,14033.949,14033.949,233.28,0.63820803,4415,17305.818,17305.818,233.28,0.85538894,2754,12535.742,12535.742,194.4,0.92079866,65535,882099.2,882099.2,1866.24,0.59787536,12902,45311.85,45311.85,220.32,0.77051663
5,4,8.181818,427.68,0.126,527,2782.0107,2782.0107,194.4,0.80092037,138,333.9892,333.9892,0,1,128,287.9784,287.9784,0,1,142,279.35135,279.35135,0,1,144,310.16217,310.16217,0,1,167,462.9838,462.9838,0,1,4199,29459.65,29459.65,336.96,0.84029293
6,5,18.57037,1749.6,0.16,960,3336.1946,3336.1946,90.72,0.7206658,34540,118317.83,118317.83,440.64,0.88608134,1626,7914.681,7914.681,181.44,0.6328086,3181,9312.465,9312.465,142.56,0.7783169,1737,7172.9624,7172.9624,155.52,0.9174697,65535,582035.5,582035.5,1736.64,0.38830405,18181,40243.746,40243.746,259.2,0.8887777
7,6,10.5,51.84,0.16,119,38.82162,38.82162,0,1,120,11.2972975,11.2972975,0,1,110,6.7783785,6.7783785,0,1,131,17.254053,17.254053,0,1,122,9.243243,9.243243,0,1,143,42.10811,42.10811,0,1,1834,2554.8325,2554.8325,51.84,0.18474425
8,7,21.75,51.84,0.175,116,32.65946,32.65946,0,1,124,7.8054056,7.8054056,0,1,112,21.156757,21.156757,0,1,130,25.675676,25.675676,0,1,127,21.567568,21.567568,0,1,144,35.945946,35.945946,0,1,934,1369.9513,1369.9513,51.84,0.8402512
9,8,20.6,64.8,0.181,116,23.621622,23.621622,0,1,122,24.032433,24.032433,0,1,111,25.675676,25.675676,0,1,134,37.589188,37.589188,0,1,130,20.335135,20.335135,0,1,145,44.57297,44.57297,0,1,874,1853.681,1853.681,64.8,0.86581415
10,9,10.333333,38.88,0.237,119,36.466267,36.466267,0,1,123,16.06988,16.06988,0,1,109,15.657831,15.657831,0,1,127,4.120482,4.120482,0,1,129,21.63253,21.63253,0,1,148,27.60723,27.60723,0,1,984,1333.594,1333.594,38.88,0.19516101
