Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
1,0,23.4375,207.36,0,313,857.74005,857.74005,64.8,0.5318901,128,59.87537,59.87537,0,1,117,87.27596,87.27596,0,1,135,60.484272,60.484272,0,1,138,34.707417,34.707417,0,1,149,86.66706,86.66706,0,1,3684,16617.344,16617.344,194.4,0.504836
2,1,29.933332,194.4,0.369,296,1002.9964,1002.9964,77.76,0.5939356,131,90.792854,90.792854,0,1,118,49.060715,49.060715,0,1,134,80.207146,80.207146,0,1,142,32.57143,32.57143,0,1,147,100.76786,100.76786,0,1,2083,7205.5684,7205.5684,168.48,0.7967262
3,2,8.533334,194.4,0.483,3040,5520.306,5520.306,77.76,0.49079177,131,48.915134,48.915134,0,1,115,116.9092,116.9092,0,1,135,87.073,87.073,0,1,127,81.38991,81.38991,0,1,145,72.662315,72.662315,0,1,6108,12782.769,12782.769,116.64,0.34311238
4,3,8.666667,311.04,0.709,338,1627.5952,1627.5952,116.64,0.42713088,125,67.7911,67.7911,0,1,121,150.19585,150.19585,0,1,136,111.42908,111.42908,0,1,129,97.018394,97.018394,0,1,144,119.547775,119.547775,0,1,6107,29466.22,29466.22,259.2,0.58190036
5,4,20.095238,272.16,1.021,422,1353.9952,1353.9952,116.64,0.67817724,126,69.617805,69.617805,0,1,112,116.09733,116.09733,0,1,133,76.721664,76.721664,0,1,131,49.321068,49.321068,0,1,145,70.83561,70.83561,0,1,6132,18827.658,18827.658,194.4,0.7257046
6,5,32.35294,220.32,1.086,448,1154.8843,1154.8843,77.76,0.8667568,128,67.1822,67.1822,0,1,111,95.80059,95.80059,0,1,133,76.31573,76.31573,0,1,145,119.75074,119.75074,0,1,145,57.236794,57.236794,0,1,2739,9481.23,9481.23,181.44,0.79914963
7,6,28.071428,181.44,1.292,347,594.69434,594.69434,38.88,0.5702894,131,109.60237,109.60237,0,1,112,65.96439,65.96439,0,1,140,67.58813,67.58813,0,1,141,76.31573,76.31573,0,1,148,77.127594,77.127594,0,1,2689,8260.43,8260.43,142.56,0.6663954
8,7,6.5416665,311.04,1.376,517,2061.1335,2061.1335,129.6,0.45788908,126,41.202374,41.202374,0,1,117,112.44392,112.44392,0,1,131,99.454,99.454,0,1,129,76.11276,76.11276,0,1,147,62.310978,62.310978,0,1,4323,23424.604,23424.604,233.28,0.44727954
9,8,20.4,194.4,2.056,207,542.925,542.925,38.88,0.54377097,129,101.582146,101.582146,0,1,115,83.87143,83.87143,0,1,127,49.467857,49.467857,0,1,131,65.34643,65.34643,0,1,148,137.00357,137.00357,0,1,3277,14527.468,14527.468,181.44,0.70490485
10,9,32.52174,298.08,2.369,673,3045.5251,3045.5251,155.52,0.82994235,130,129.08723,129.08723,0,1,111,85.65223,85.65223,0,1,133,111.22611,111.22611,0,1,144,103.91929,103.91929,0,1,144,51.959644,51.959644,0,1,4819,17952.215,17952.215,207.36,0.6456658
11,10,6.3142858,453.6,2.411,4034,7544.7026,7544.7026,103.68,0.8091989,6207,24487.498,24487.498,233.28,0.94279736,299,1298.7881,1298.7881,77.76,0.67143524,533,1815.1371,1815.1371,77.76,0.873645,441,1371.8563,1371.8563,77.76,0.8263714,37814,148254.67,148254.67,362.88,0.9659981,15865,42999.04,42999.04,233.28,0.46068037
12,11,13.825397,816.48,2.432,2376,19234.81,19234.81,531.36,0.4351574,132,272.78812,272.78812,0,1,118,325.7626,325.7626,0,1,139,394.7715,394.7715,0,1,131,183.27953,183.27953,0,1,146,336.9258,336.9258,0,1,8229,109176.055,109176.055,622.08,0.4330989
13,12,15.428572,453.6,2.559,2534,7563.9,7563.9,129.6,0.47406563,5347,22200.889,22200.889,272.16,0.82909757,332,1226.1107,1226.1107,77.76,0.6396899,460,1739.925,1739.925,77.76,0.9127015,340,1330.7465,1330.7465,51.84,0.9862043,33877,146544.56,146544.56,401.76,0.9062758,16248,57374.543,57374.543,324,0.86208737
14,13,28.151516,427.68,2.588,1663,6300.3096,6300.3096,116.64,0.62871724,4722,21917.227,21917.227,194.4,0.8565953,310,1286.6101,1286.6101,77.76,0.61814344,568,1702.4902,1702.4902,77.76,0.85727936,410,1224.0962,1224.0962,77.76,0.81599784,31107,140295.7,140295.7,362.88,0.875248,29023,55914.26,55914.26,272.16,0.48015013
15,14,32.333332,155.52,2.596,532,1049.9502,1049.9502,77.76,0.7749702,127,56.22196,56.22196,0,1,113,29.2273,29.2273,0,1,136,61.702076,61.702076,0,1,147,56.01899,56.01899,0,1,148,66.37032,66.37032,0,1,3416,5051.8574,5051.8574,90.72,0.50937575
16,15,9.76,324,2.823,543,1917.2296,1917.2296,103.68,0.5973141,135,107.369736,107.369736,0,1,115,111.02315,111.02315,0,1,129,105.745995,105.745995,0,1,131,115.69139,115.69139,0,1,145,107.16676,107.16676,0,1,3945,22068.186,22068.186,233.28,0.7193714
17,16,30.166666,155.52,2.872,1308,2118.9792,2118.9792,64.8,0.49495912,127,44.855785,44.855785,0,1,109,66.16736,66.16736,0,1,133,82.810684,82.810684,0,1,141,46.479527,46.479527,0,1,141,40.390503,40.390503,0,1,3486,10359.048,10359.048,103.68,0.85319376
18,17,23.76923,673.92,2.914,2529,15801.621,15801.621,336.96,0.89859825,3683,31736.99,31736.99,531.36,0.96365225,276,1732.1893,1732.1893,103.68,0.7520447,404,2490.2893,2490.2893,129.6,0.8144776,336,1743.9965,1743.9965,90.72,0.89548063,41032,210775,210775,673.92,0.8800981,13748,68473.33,68473.33,362.88,0.9600373
19,18,27,220.32,2.957,379,898.0974,898.0974,64.8,0.50526065,128,56.62789,56.62789,0,1,111,43.435017,43.435017,0,1,134,23.544214,23.544214,0,1,144,65.15252,65.15252,0,1,144,65.96439,65.96439,0,1,3412,14137.584,14137.584,155.52,0.95950735
20,19,25.727272,285.12,3.254,638,2113.275,2113.275,103.68,0.6417235,131,112.167854,112.167854,0,1,113,146.16429,146.16429,0,1,133,117.25714,117.25714,0,1,143,77.560715,77.560715,0,1,148,124.38214,124.38214,0,1,4666,21830.33,21830.33,233.28,0.5880287
21,20,29.066668,194.4,3.346,437,1423.7786,1423.7786,77.76,0.5862111,127,68.4,68.4,0,1,118,81.42857,81.42857,0,1,130,73.082146,73.082146,0,1,139,20.967857,20.967857,0,1,149,99.546425,99.546425,0,1,3643,13412.549,13412.549,142.56,0.7681502
22,21,16.64865,959.04,3.56,1626,20624.602,20624.602,544.32,0.6400379,133,285.20358,285.20358,0,1,120,435.4393,435.4393,0,1,138,359.1,359.1,0,1,136,372.5357,372.5357,0,1,148,395.74286,395.74286,0,1,12939,150942.39,150942.39,699.84,0.83141166
23,22,12.1875,207.36,3.686,536,1262.3464,1262.3464,51.84,0.5225993,132,48.857143,48.857143,0,1,112,52.521427,52.521427,0,1,135,84.075,84.075,0,1,129,58.017857,58.017857,0,1,143,27.075,27.075,0,1,5399,17761.607,17761.607,155.52,0.84565306
24,23,12.631579,246.24,3.827,204,551.0564,551.0564,51.84,0.47178757,126,62.513947,62.513947,0,1,111,36.534126,36.534126,0,1,131,84.23145,84.23145,0,1,129,36.534126,36.534126,0,1,147,63.12285,63.12285,0,1,3039,11783.067,11783.067,207.36,0.6296062
25,24,31.806452,401.76,4.019,1552,4157.786,4157.786,129.6,0.8738554,4635,13642.509,13642.509,194.4,0.81984985,253,855.30444,855.30444,51.84,0.4447206,430,1105.3022,1105.3022,51.84,0.6686376,362,891.4326,891.4326,38.88,0.75724804,31297,92889.09,92889.09,311.04,0.8906955,14917,43756.348,43756.348,259.2,0.8499749
26,25,11.666667,272.16,4.338,247,617.025,617.025,64.8,0.6002943,132,79.59643,79.59643,0,1,116,97.10357,97.10357,0,1,129,36.846428,36.846428,0,1,128,71.86072,71.86072,0,1,143,114.203575,114.203575,0,1,3372,13869.537,13869.537,207.36,0.8590672
27,26,16.853659,531.36,4.564,640,4063.082,4063.082,285.12,0.4335594,130,107.48572,107.48572,0,1,115,226.37143,226.37143,0,1,131,160.00714,160.00714,0,1,133,176.7,176.7,0,1,144,148.2,148.2,0,1,8926,38294.84,38294.84,388.8,0.6159173
28,27,12.952381,272.16,4.96,316,938.66785,938.66785,77.76,0.18933429,130,60.05357,60.05357,0,1,115,93.23572,93.23572,0,1,133,81.225,81.225,0,1,129,83.667854,83.667854,0,1,146,72.87857,72.87857,0,1,2190,11465.347,11465.347,207.36,0.37029698
29,28,5.6415095,686.88,5.109,662,8702.271,8702.271,388.8,0.69685614,128,248.76428,248.76428,0,1,118,258.5357,258.5357,0,1,132,242.65715,242.65715,0,1,134,183.21428,183.21428,0,1,150,222.91072,222.91072,0,1,6032,64841.47,64841.47,440.64,0.52157474
30,29,17.833334,311.04,5.372,199,652.031,652.031,51.84,0.90394807,128,115.62857,115.62857,0,1,113,16.692858,16.692858,0,1,130,55.37143,55.37143,0,1,131,69.62143,69.62143,0,1,142,70.23214,70.23214,0,1,2431,10383.364,10383.364,285.12,0.7034761
31,30,12.290909,712.8,5.591,1148,8489.946,8489.946,324,0.7072524,131,246.525,246.525,0,1,114,229.425,229.425,0,1,136,230.44286,230.44286,0,1,132,285.61072,285.61072,0,1,148,183.62143,183.62143,0,1,9102,75863.6,75863.6,518.4,0.7035484
32,31,11.277778,466.56,5.966,1460,5127.7607,5127.7607,129.6,0.73932445,5414,20494.758,20494.758,285.12,0.9080621,331,1256.85,1256.85,64.8,0.542101,432,1611.4714,1611.4714,64.8,0.82648,350,1225.9071,1225.9071,77.76,0.91555774,35554,125458.42,125458.42,362.88,0.85300016,14052,45247.156,45247.156,272.16,0.8944582
33,32,32.773197,1257.12,6.179,3967,36144.313,36144.313,492.48,0.3921646,11056,83222.85,83222.85,777.6,0.38114357,536,4348.082,4348.082,220.32,0.36647892,706,6155.7964,6155.7964,246.24,0.4142259,506,4566.107,4566.107,259.2,0.4884625,54879,502146.6,502146.6,1179.36,0.4234614,20851,151428.03,151428.03,673.92,0.5921303
34,33,23.254545,712.8,6.306,610,6546.7124,6546.7124,375.84,0.77630293,130,259.18933,259.18933,0,1,113,224.07596,224.07596,0,1,133,272.17923,272.17923,0,1,144,260.20416,260.20416,0,1,148,175.76973,175.76973,0,1,7883,64510.84,64510.84,466.56,0.75157875
35,34,27.6,259.2,6.724,264,634.67896,634.67896,77.76,0.550744,128,73.88012,73.88012,0,1,111,103.91929,103.91929,0,1,136,112.44392,112.44392,0,1,143,115.28546,115.28546,0,1,145,98.8451,98.8451,0,1,4340,18810.38,18810.38,207.36,0.65508676
36,35,3.5925925,349.92,6.739,376,1541.7401,1541.7401,103.68,0.8037968,124,97.22137,97.22137,0,1,125,137.81483,137.81483,0,1,135,133.34955,133.34955,0,1,135,177.1905,177.1905,0,1,145,170.69554,170.69554,0,1,2903,14814.259,14814.259,246.24,0.7090613
37,36,36.136986,946.08,6.765,1161,12242.379,12242.379,375.84,0.9254452,3300,42238.426,42238.426,699.84,0.981751,252,2289.975,2289.975,142.56,0.7277584,394,3086.1428,3086.1428,168.48,0.8495158,325,2210.9893,2210.9893,142.56,0.964036,39890,254750.5,254750.5,933.12,0.83787864,7524,61588.297,61588.297,479.52,0.8594222
38,37,25.866667,194.4,7.028,295,715.35,715.35,51.84,0.9740013,129,66.975,66.975,0,1,109,42.139286,42.139286,0,1,131,72.675,72.675,0,1,138,57.407143,57.407143,0,1,142,26.057142,26.057142,0,1,2247,8046.0566,8046.0566,142.56,0.69537514
39,38,17.086956,298.08,7.085,272,1271.1,1271.1,116.64,0.42534414,126,55.37143,55.37143,0,1,115,123.36429,123.36429,0,1,133,153.28929,153.28929,0,1,133,90.99643,90.99643,0,1,148,78.78214,78.78214,0,1,3426,17514.268,17514.268,220.32,0.54431766
40,39,12.202899,894.24,7.198,2634,24012.676,24012.676,479.52,0.6278915,132,361.3393,361.3393,0,1,118,393.70715,393.70715,0,1,137,299.45358,299.45358,0,1,131,303.525,303.525,0,1,149,413.04642,413.04642,0,1,13228,148012.92,148012.92,622.08,0.57628417
41,40,7.8846154,336.96,7.7,264,1292.8822,1292.8822,142.56,0.2970471,127,32.775,32.775,0,1,115,50.282143,50.282143,0,1,135,34.810715,34.810715,0,1,134,178.93929,178.93929,0,1,148,88.14643,88.14643,0,1,1262,6373.7593,6373.7593,194.4,0.46532878
