07/12 - Column 4 mag 40
ID,Image,Diameter
1,1,9.59364
2,1,6.59577
3,1,6.30288
4,1,10.25232
5,1,7.57699
6,1,7.08374
7,1,6.80334
8,1,9.85816
9,1,6.46086
10,1,8.37329
11,2,8.04435
12,2,9.06829
13,2,9.88633
14,2,7.88429
15,2,6.62207
16,2,4.17209
17,2,5.61026
18,2,6.85764
19,2,5.67394
20,2,8.29263
21,2,7.1066
22,2,4.61018
23,2,5.86476
24,2,7.9487
25,2,4.4879
26,2,7.93411
27,2,6.22704
28,2,4.71949
29,3,6.96162
30,3,4.8143
31,3,8.37052
32,3,7.54633
33,3,7.36761
34,3,9.0734
35,3,7.78668
36,3,8.46962
37,4,7.09518
38,4,4.98925
39,4,7.28059
40,4,6.50911
41,4,6.49485
42,4,7.40214
43,4,7.5831
44,5,5.17174
45,5,7.23268
46,5,5.01011
47,5,9.57066
48,5,6.90479
49,5,6.24005
50,5,6.75377
51,5,8.1744
52,5,6.81015
53,5,7.07555
54,5,6.23448
55,5,6.99815
56,5,6.98323
57,5,0.15224
58,5,8.49694
59,5,7.92242
